original_BOL_address,geometry.location.lat,geometry.location.lng,country,number_of_transactions
"Aabenraa,Denmark",55.040852,9.415158900000002,Denmark,4.0
"Aarhus,Denmark",56.162939,10.203921000000001,Denmark,83.0
"Aberdeen, Washington",46.9753708,-123.81572179999999,United States,9.0
"Abidjan,Ivory Coast",5.3599517,-4.008256299999999,Côte d'Ivoire,2.0
"Acajutla,El Salvador",13.5957,-89.82708939999998,El Salvador,598.0
"Acapulco,Mexico",16.853108600000002,-99.82365329999999,Mexico,39.0
"Accra ,Ghana",5.6037168,-0.1869644,Ghana,1.0
"Adelaide,Australia",-34.9284989,138.6007456,Australia,1605.0
"Agadir,Morocco",30.4277547,-9.5981072,Morocco,1.0
"Aguascalientes,Mexico",21.8852562,-102.2915677,Mexico,2.0
"Ain Sukhna,Egypt",29.632561699999997,32.330017100000006,Egypt,1.0
"Akron, Ohio",41.081444700000006,-81.51900529999998,United States,1.0
"Albany, New York",42.65257929999999,-73.7562317,United States,25.0
"Alberta,Canada",53.9332706,-116.57650349999999,Canada,53.0
"Albuquerque, New Mexico",35.0853336,-106.6055534,United States,80.0
"Alexandria Bay, New York",44.3358836,-75.9177309,United States,13.0
"Algeciras,Spain",36.140759100000004,-5.456233,Spain,14594.0
"Algeciras,Spain ",36.140759100000004,-5.456233,Spain,1372.0
"Allentown, Pennsylvania",40.6084305,-75.4901833,United States,32.0
"Anchorage, Alaska",61.2180556,-149.90027780000003,United States,69.0
"Ancona,Italy",43.6158299,13.518915,Italy,3.0
"Antofagasta,Chile",-23.6509279,-70.39750219999998,Chile,175.0
"Anvers,Belgium",51.2194475,4.402464299999999,Belgium,142278.0
"Apapa,Nigeria",6.4446406,3.3640841,Nigeria,11.0
"Apia,Western Samoa",-13.8506958,-171.75135509999998,Samoa,2.0
"Aqaba,Jordan",29.5320522,35.0063209,Jordan,228.0
"Aratu,Brazil",-12.776480000000001,-38.498110700000005,Brazil,10.0
"Arawak Cay,Bahamas",25.0826605,-77.36043719999998,The Bahamas,6.0
"Arica,Chile",-18.4782534,-70.3125988,Chile,107.0
"Ashdod,Israel",31.804381,34.655314000000004,Israel,61.0
"Asuncion,Paraguay",-25.263739899999997,-57.57592599999999,Paraguay,5.0
"Atlanta, Georgia",33.7489954,-84.3879824,United States,16862.0
"Attalea,Turkey",37.09516720000001,31.079370500000003,Turkey,19.0
"Auckland,New Zealand",-36.8484597,174.7633315,New Zealand,3450.0
"Austin, Texas",30.267153000000004,-97.7430608,United States,287.0
"Baja California Sur,Mexico",26.044444600000002,-111.66607250000001,Mexico,44.0
"Baja California,Mexico",30.8406338,-115.28375849999999,Mexico,1929.0
"Balboa,Panama",8.9613962,-79.5631537,Panama,14333.0
"Baltimore, Maryland",39.2903848,-76.6121893,United States,53183.0
"Bangkok,Thailand",13.7563309,100.5017651,Thailand,56.0
"Bar,Serbia",44.8208969,20.4563981,Serbia,3.0
"Barcelona ,Spain",41.3850639,2.1734035,Spain,13235.0
"Barcelona ,Spain ",41.3850639,2.1734035,Spain,5968.0
"Barletta,Italy",41.319663500000004,16.2838207,Italy,2.0
"Barranquilla ,Colombia",11.004107199999998,-74.80698129999998,Colombia,14.0
"Bassens,France",44.899834999999996,-0.516238,France,1.0
"Basseterre, St. Kitts,St. Kitts & Nevis",17.302605800000002,-62.7176924,Saint Kitts and Nevis,40.0
"Batangas,Philippines",13.9450336,121.1312012,Philippines,289.0
"Bathurst,Gambia",13.4548761,-16.5790323,The Gambia,1.0
"Baton Rouge, Louisiana",30.458282899999997,-91.1403196,United States,2.0
"Battle Creek, Michigan",42.32115220000001,-85.17971419999998,United States,14.0
"Beaufort Morehead City, North Carolina",34.7182174,-76.6638186,United States,98.0
"Beaumont, Texas",30.080174,-94.12655620000001,United States,8.0
"Beira,Mozambique",-19.796381600000004,34.884486700000004,Mozambique,6.0
"Belawan,Indonesia",3.784303,98.694221,Indonesia,907.0
"Belfast,United Kingdom",54.59728500000001,-5.93012,United Kingdom,4.0
"Belize,Belize",17.5045661,-88.1962133,Belize,29.0
"Beyrouth,Lebanon",33.8937913,35.50177670000001,Lebanon,3.0
"Bilbao,Spain",43.263012599999996,-2.9349852000000003,Spain,52.0
"Bilbao,Spain ",43.263012599999996,-2.9349852000000003,Spain,39.0
"Birmingham, Alabama",33.5206608,-86.80248999999998,United States,453.0
"Blaine, Washington",48.993722999999996,-122.74711909999999,United States,4187.0
"Bluegrass Airport, Lexington, Kentucky",38.03776149999999,-84.6026083,United States,16.0
"Boise, Idaho",43.6187102,-116.2146068,United States,7.0
"Boston, Massachusetts",42.360082500000004,-71.0588801,United States,28215.0
"Boundary, Washington",48.99861,-121.60417,United States,7.0
"Brake,Federal Republic of Germany",51.176359999999995,6.867539999999999,Germany,22.0
