id,parent,text
ALL,#,ALL - All HS commodities
TOTAL,#,TOTAL - Total of all HS commodities
AG2,#,AG2 - All 2-digit HS commodities
AG4,#,AG4 - All 4-digit HS commodities
AG6,#,AG6 - All 6-digit HS commodities
01,TOTAL,01 - Animals; live
0101,01,"0101 - Horses, asses, mules and hinnies; live"
010110,0101,"010110 - Horses, asses, mules and hinnies; live, pure-bred breeding animals"
010111,0101,"010111 - Horses; live, pure-bred breeding animals"
010119,0101,"010119 - Horses; live, other than pure-bred breeding animals"
010120,0101,"010120 - Asses, mules and hinnies; live"
010121,0101,"010121 - Horses; live, pure-bred breeding animals"
010129,0101,"010129 - Horses; live, other than pure-bred breeding animals"
010130,0101,010130 - Asses; live
010190,0101,010190 - Mules and hinnies; live
0102,01,0102 - Bovine animals; live
010210,0102,"010210 - Bovine animals; live, pure-bred breeding animals"
010221,0102,"010221 - Cattle; live, pure-bred breeding animals"
010229,0102,"010229 - Cattle; live, other than pure-bred breeding animals"
010231,0102,"010231 - Buffalo; live, pure-bred breeding animals"
010239,0102,"010239 - Buffalo; live, other than pure-bred breeding animals"
010290,0102,"010290 - Bovine animals; live, other than pure-bred breeding animals"
0103,01,0103 - Swine; live
010310,0103,"010310 - Swine; live, pure-bred breeding animals"
010391,0103,"010391 - Swine; live, other than pure-bred breeding animals, weighing less than 50kg"
010392,0103,"010392 - Swine; live, other than pure-bred breeding animals, weighing 50kg or more"
0104,01,0104 - Sheep and goats; live
010410,0104,010410 - Sheep; live
010420,0104,010420 - Goats; live
0105,01,"0105 - Poultry; live, fowls of the species gallus domesticus, ducks, geese, turkeys and guinea fowls"
010511,0105,"010511 - Poultry; live, fowls of the species gallus domesticus, weighing not more than 185g"
010512,0105,"010512 - Poultry; live, weighing not more than 185g, turkeys"
010513,0105,"010513 - Poultry; live, ducks, weighing not more than 185g"
010514,0105,"010514 - Poultry; live, geese, weighing not more than 185g"
010515,0105,"010515 - Poultry; live, guinea fowls, weighing not more than 185g"
010519,0105,"010519 - Poultry; live, weighing not more than 185g, ducks, geese, turkeys and guinea fowls"
010591,0105,"010591 - Poultry; live, fowls of the species gallus domesticus, weighing more than 185g"
010592,0105,"010592 - Poultry; live, weighing over 185g but not more than 2000g, fowls of the species gallus domesticus"
010593,0105,"010593 - Poultry; live, weighing over 2000g, fowls of the species gallus domesticus"
010594,0105,"010594 - Poultry; live, fowls of the species Gallus domesticus, weighing more than 185g"
010599,0105,"010599 - Poultry; live, ducks, geese, turkeys and guinea fowls, weighing more than 185g"
0106,01,"0106 - Animals; live, n.e.c. in chapter 01"
010600,0106,"010600 - Animals; live, n.e.s. in chapter 1"
010611,0106,"010611 - Mammals; live, primates"
010612,0106,"010612 - Mammals; live, whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,0106,"010613 - Mammals; live, camels and other camelids (Camelidae)"
010614,0106,"010614 - Mammals; live, rabbits and hares"
010619,0106,"010619 - Mammals; live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea); manatees, dugongs (mammals of the order Sirenia); seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares"
010620,0106,010620 - Reptiles; live (including snakes and turtles)
010631,0106,"010631 - Birds; live, birds of prey"
010632,0106,"010632 - Birds; live, Psittaciformes"
010633,0106,"010633 - Birds; live, ostriches; emus (Dromaius novaehollandiae)"
010639,0106,"010639 - Birds; live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)"
010641,0106,"010641 - Insects; live, bees"
010649,0106,"010649 - Insects; live, other than bees"
010690,0106,"010690 - Animals; live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects"
02,TOTAL,02 - Meat and edible meat offal
0201,02,0201 - Meat of bovine animals; fresh or chilled
020110,0201,"020110 - Meat; of bovine animals, carcasses and half-carcasses, fresh or chilled"
020120,0201,"020120 - Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020130,0201,"020130 - Meat; of bovine animals, boneless cuts, fresh or chilled"
0202,02,0202 - Meat of bovine animals; frozen
020210,0202,"020210 - Meat; of bovine animals, carcasses and half-carcasses, frozen"
020220,0202,"020220 - Meat; of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen"
020230,0202,"020230 - Meat; of bovine animals, boneless cuts, frozen"
0203,02,"0203 - Meat of swine; fresh, chilled or frozen"
020311,0203,"020311 - Meat; of swine, carcasses and half-carcasses, fresh or chilled"
020312,0203,"020312 - Meat; of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled"
020319,0203,"020319 - Meat; of swine, n.e.s. in item no. 0203.1, fresh or chilled"
020321,0203,"020321 - Meat; of swine, carcasses and half-carcasses, frozen"
020322,0203,"020322 - Meat; of swine, hams, shoulders and cuts thereof, with bone in, frozen"
020329,0203,"020329 - Meat; of swine, n.e.s. in item no. 0203.2, frozen"
0204,02,"0204 - Meat of sheep or goats; fresh, chilled or frozen"
020410,0204,"020410 - Meat; of sheep, lamb carcasses and half-carcasses, fresh or chilled"
020421,0204,"020421 - Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), fresh or chilled"
020422,0204,"020422 - Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled"
020423,0204,"020423 - Meat; of sheep (including lamb), boneless cuts, fresh or chilled"
020430,0204,"020430 - Meat; of sheep, lamb carcasses and half-carcasses, frozen"
020441,0204,"020441 - Meat; of sheep, carcasses and half-carcasses (excluding carcasses and half-carcasses of lamb), frozen"
020442,0204,"020442 - Meat; of sheep (including lamb), cuts with bone in (excluding carcasses and half-carcasses), frozen"
020443,0204,"020443 - Meat; of sheep (including lamb), boneless cuts, frozen"
020450,0204,"020450 - Meat; of goats, fresh, chilled or frozen"
0205,02,"0205 - Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen"
020500,0205,"020500 - Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen"
0206,02,"0206 - Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies; fresh, chilled or frozen"
020610,0206,"020610 - Offal, edible; of bovine animals, fresh or chilled"
020621,0206,"020621 - Offal, edible; of bovine animals, tongues, frozen"
020622,0206,"020622 - Offal, edible; of bovine animals, livers, frozen"
020629,0206,"020629 - Offal, edible; of bovine animals, (other than tongues and livers), frozen"
020630,0206,"020630 - Offal, edible; of swine, fresh or chilled"
020641,0206,"020641 - Offal, edible; of swine, livers, frozen"
020649,0206,"020649 - Offal, edible; of swine, (other than livers), frozen"
020680,0206,"020680 - Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled"
020690,0206,"020690 - Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen"
0207,02,"0207 - Meat and edible offal of poultry; of the poultry of heading no. 0105, (ie fowls of the species gallus domesticus), fresh, chilled or frozen"
020710,0207,"020710 - Meat and edible offal; poultry, not cut in pieces, fresh or chilled"
020711,0207,"020711 - Meat and edible offal; of the poultry of heading no. 0105, of fowls of the species gallus domesticus, (not cut in pieces), fresh or chilled"
