id,parent,text
080810,0808,"080810 - Fruit, edible; apples, fresh"
081040,0810,"081040 - Fruit, edible; cranberries, bilberries and other fruits of the genus vaccinium, fresh"
081050,0810,"081050 - Fruit, edible; kiwifruit, fresh"
081090,0810,"081090 - Fruit, edible; fruits n.e.s. in heading no. 0801 to 0810, fresh"
081120,0811,"081120 - Fruit, edible; raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries, uncooked or cooked, whether or not containing added sugar or other sweetening matter"
081190,0811,"081190 - Fruit, edible; fruit and nuts n.e.s. in heading no. 0811, uncooked or cooked, frozen whether or not containing added sugar or other sweetening matter"
081320,0813,"081320 - Fruit, edible; prunes, dried"
081330,0813,"081330 - Fruit, edible; apples, dried"
081340,0813,"081340 - Fruit, edible; fruit n.e.s. in heading no. 0812, dried"
081350,0813,"081350 - Nuts, edible; mixtures of nuts or dried fruits of chapter 8"
081400,0814,"081400 - Peel; of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water and other preservative solutions"
090112,0901,"090112 - Coffee; decaffeinated, not roasted"
090121,0901,"090121 - Coffee; roasted, not decaffeinated"
090122,0901,"090122 - Coffee; roasted, decaffeinated"
090130,0901,090130 - Coffee; husks and skins
090140,0901,"090140 - Coffee; substitutes containing coffee, in any proportion"
090190,0901,"090190 - Coffee; husks and skins, coffee substitutes containing coffee in any proportion"
090210,0902,"090210 - Tea, green; (not fermented), in immediate packings of a content not exceeding 3kg"
090220,0902,"090220 - Tea, green; (not fermented), in immediate packings of a content exceeding 3kg"
090230,0902,"090230 - Tea, black; (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3kg"
090240,0902,"090240 - Tea, black; (fermented) and partly fermented tea, in immediate packings of a content exceeding 3kg"
090300,0903,090300 - Mate
090411,0904,"090411 - Spices; pepper (of the genus piper), neither crushed nor ground"
090412,0904,"090412 - Spices; pepper (of the genus piper), crushed or ground"
090420,0904,"090420 - Spices; fruits of the genus capsicum or pimenta, dried or crushed or ground"
090421,0904,"090421 - Spices; fruits of the genus Capsicum or Pimenta, dried, neither crushed nor ground"
090422,0904,"090422 - Spices; fruits of the genus Capsicum or Pimenta, crushed or ground"
