port1,port2,cnt,start_lat,start_lon,end_lat,end_lon,text
"Abidjan,Ivory Coast","Callao,Peru",2,5.3599517,-4.008256299999999,-12.050849099999999,-77.1259843,"From Abidjan,Ivory Coast to Callao,Peru"
"Acajutla,El Salvador","Acajutla,El Salvador",1,13.5957,-89.82708939999998,13.5957,-89.82708939999998,"From Acajutla,El Salvador to Acajutla,El Salvador"
"Acajutla,El Salvador","Kaohsiung,China (Taiwan)",1,13.5957,-89.82708939999998,22.627278399999998,120.3014353,"From Acajutla,El Salvador to Kaohsiung,China (Taiwan)"
"Acajutla,El Salvador","Port Natal,South Africa",6,13.5957,-89.82708939999998,-29.85868039999999,31.0218404,"From Acajutla,El Salvador to Port Natal,South Africa"
"Acajutla,El Salvador","Tokyo ,Japan",1,13.5957,-89.82708939999998,35.6894875,139.69170640000002,"From Acajutla,El Salvador to Tokyo ,Japan"
"Adelaide,Australia","Lazaro Cardenas,Mexico",75,-34.9284989,138.6007456,17.9567646,-102.1943485,"From Adelaide,Australia to Lazaro Cardenas,Mexico"
"Adelaide,Australia","Manzanillo,Mexico",279,-34.9284989,138.6007456,19.113809399999997,-104.33846159999999,"From Adelaide,Australia to Manzanillo,Mexico"
"Adelaide,Australia","Sao Paulo,Brazil",1,-34.9284989,138.6007456,-23.550519899999998,-46.63330939999999,"From Adelaide,Australia to Sao Paulo,Brazil"
"Aguascalientes,Mexico","Port Swettenham,Malaysia",2,21.8852562,-102.2915677,2.999852,101.39283,"From Aguascalientes,Mexico to Port Swettenham,Malaysia"
"Ain Sukhna,Egypt","Puerto Manzanillo,Panama",1,29.632561699999997,32.330017100000006,9.3651477,-79.88115140000001,"From Ain Sukhna,Egypt to Puerto Manzanillo,Panama"
"Alberta,Canada","Anvers,Belgium",2,53.9332706,-116.57650349999999,51.2194475,4.402464299999999,"From Alberta,Canada to Anvers,Belgium"
"Alberta,Canada",Brazil,1,53.9332706,-116.57650349999999,-14.235004,-51.92528,"From Alberta,Canada to Brazil"
"Alberta,Canada","Civitavecchia,Italy",2,53.9332706,-116.57650349999999,42.0924239,11.7954132,"From Alberta,Canada to Civitavecchia,Italy"
"Alberta,Canada","Liverpool,United Kingdom",4,53.9332706,-116.57650349999999,53.40837140000001,-2.9915726,"From Alberta,Canada to Liverpool,United Kingdom"
"Alberta,Canada","Sao Paulo,Brazil",43,53.9332706,-116.57650349999999,-23.550519899999998,-46.63330939999999,"From Alberta,Canada to Sao Paulo,Brazil"
